username,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,pagerank,load_centrality,hits_hub,hits_auth,clustering,triangles,eigenvector_centrality,square_clustering,community
gemma.calafato,0.43006993006993005,0.21678321678321677,0.21328671328671328,0.3135822829544116,0.002339527954926413,0.005654019461790747,0.0022667199031281638,0.015596110604689668,0.015054474963769243,0.5682882882882883,1577,0.15251507863742428,0.3815665996361199,5
des.m2028,0.28321678321678323,0.06993006993006994,0.21328671328671328,0.27302564102564103,0.0006350985197868229,0.002374416740840459,0.0006390023920904319,0.01552784646320496,0.005136273304074688,0.592896174863388,1085,0.051016349009919165,0.390914307306901,5
rebsdougsmith,0.01048951048951049,0.006993006993006993,0.0034965034965034965,0.25789575663631076,0.0,0.001602557634722767,0.0,3.4843961815523105e-05,3.555652758397042e-05,1.0,1,0.00045460667581689125,0.07142857142857142,6
philecabinet,0.2902097902097902,0.11538461538461539,0.17482517482517482,0.29378655777508,0.001259776739524126,0.003427361889268887,0.0012690346194514832,0.012328077949939386,0.007981079702167057,0.5676767676767677,843,0.07939444781966883,0.378187133978458,5
justdanny666,0.017482517482517484,0.006993006993006993,0.01048951048951049,0.20075414781297132,6.13421666053245e-06,0.002056232182580747,6.13421666053245e-06,1.0221285939482866e-06,8.736654330171614e-07,0.6666666666666666,2,1.3541101298412742e-05,0.3076923076923077,6
marlee.anna_,0.23426573426573427,0.10139860139860139,0.13286713286713286,0.29633752643882894,0.0020599857624600116,0.0031422259515009932,0.0024021262201810206,0.008004633417862426,0.006263762887651357,0.48548199767711964,418,0.05586378443000692,0.31112647538150034,4
b._.harr,0.23076923076923078,0.0979020979020979,0.13286713286713286,0.2916940609248302,0.0010746332545975169,0.003034181709456371,0.0011627580495490086,0.008564839695010935,0.0064951333911615495,0.5135135135135135,361,0.06620111499718714,0.33671011058451816,4
abigailrosiey,0.16433566433566432,0.0944055944055944,0.06993006993006994,0.29378655777508,0.0023489992417486745,0.002894298016492351,0.002525880374983656,0.005529636880427332,0.007513535616728054,0.6814516129032258,338,0.07607217649156754,0.418868374032162,5
hannnah.grimmme,0.06993006993006994,0.03146853146853147,0.038461538461538464,0.25724777734827986,0.0010978188606391966,0.002893824561306707,0.0012235836289273773,1.337249174080826e-05,1.1097036106197234e-05,0.43636363636363634,24,0.00015474292932789361,0.13840155945419103,1
anthony.landrus,0.03496503496503497,0.017482517482517484,0.017482517482517484,0.2518686725328792,4.084042186754621e-05,0.00211892210188054,7.092980321983125e-05,1.3305126486322573e-05,1.345081932592651e-05,0.8,8,0.0001871373708915982,0.19736842105263158,1
